la zona	area (not "el área")
europeo	european
la función	function
la costa	coast
María	Mary
Cuba	Cuba
el objeto	object
disponer	to arrange, to provide, to stipulate, to dispose
meter	to put into, to stick in, to insert, to introduce (not introducir)
central	central
la educación	education
la estructura	structure
julio	July
construir	to construct, to build
la nación	nation
militar	military, militaristic
el militar	soldier (m...)
el territorio	territory
la economía	economy
la isla	island
conocido	known (person, place)
provocar	to provoke, to cause
el espacio	space
realmente	really (r...)
el	the (masc)
cerca	near, nearby, close (not "cercano")
el suelo	ground, floor, soil
cuál	which
comprar	to buy
ayudar	to help
diverso	diverse
el cabo	extremity (not "la extremidad"), end, end piece
el control	control
el precio	price, fee, charge
el muchacho	guy, boy (m..., not "el mozo")
francés	French
el animal	animal
el minuto	minute
el peso	weight
la necesidad	need, necessity
la comunidad	community
elegir	to elect, to choose (not escoger)
suceder	to succeed; to happen
subir	to go up, to rise, to ascend (s.., not "surgir"); to upload
la libertad	liberty, freedom
el origen	origin
el candidato	candidate
publicar	to publish
asegurar	to assure
asegurarse	to make sure
el recurso	resource
la ocasión	occasion
la falta	lack (not carencia)
la diferencia	difference
la seguridad	security, safety
el ejército	army
detener	to detain
la policía	police
mediante	through, by means of (not "por medio de")
el viaje	journey, trip (not recorrido or trayecto)
la literatura	literature
el profesor	professor, teacher (not maestro)
la cámara	camera
indicar	to indicate
la presencia	presence
aumentar	to increase (not incrementar)
la energía	energy
la posición	position
sufrir	to suffer
el uso	use, usage (not utilización or aplicación )
dónde	where
el museo	museum
el resultado	result, outcome
la enfermedad	disease
el material	material (physical substance); subject matter
participar	to participate
el brazo	arm
apenas	hardly
el congreso	congress; conference
la materia	matter, substance, material; subject (of a course of study)
moderno	modern
tercer	third
la fuente	fountain, source
emplear	to employ
surgir	to arise; to emerge; to rise (s..., not “subir”)
evitar	to avoid
la decisión	decision
responder	to respond, to reply (not contestar or replicar)
solamente	only (not "únicamente")
mover	to move, to shift
la experiencia	experience
el esfuerzo	effort
el igual	equal
menor	minor, lesser, younger
el jefe	boss
la planta	plant
la duda	doubt
cultural	cultural
la reforma	reform
la institución	institution
popular	popular
británico	British
enorme	huge, enormous
la introducción	introduction
siete	seven
afirmar	to state, to affirm
ambos	both
olvidar	to forget
la boca	mouth
cubrir	to cover, to cover up, to conceal (c..)
la causa	cause
extender	to extend
acordar	to agree (a.., not "acceder")
acordarse	to remember (reflexive) (a...)
la pintura	painting
la influencia	influence
repetir	to repeat
posible	possible
alguien	someone
la cuestión	question (matter, regard)
la importancia	importance
el viejo	old man (not anciano)
la dirección	direction, address
me	me, to me
la técnica	technique, skill; technician (fem.)
religioso	religious
el asunto	matter, issue
el artista	artist
abierto	open
unir	to unite
vender	to sell
ser	to be (used for lasting attributes)
el ser	being
el favor	favour
el sueño	dream
referir	to refer
demasiado	too much
echar	to throw, to cast (not arrojar, lanzar, or tirar)
comercial	commercial
oficial	official
malo	bad
la unión	union (u...)
regresar	to return, to come back (not "volver" or "devolver")
observar	to observe
rojo	red (not "colorado")
obligar	to obligate, to oblige; to force
la campaña	campaign
la pieza	piece (not "trozo" or "pedazo")
numeroso	numerous
la unidad	unit, unity
el domingo	Sunday
alemán	German
la mesa	table
la superficie	surface
la opinión	opinion (not parecer)
la comunicación	communication
apoyar	to support
el puerto	port (maritime)
la compañía	company (not "la empresa")
la atención	attention
expresar	to express
medir	to measure
la prensa	press (the newspaper industry)
la novela	novel
la industria	industry
el consejo	advice
valer	to be worth
el habitante	inhabitant
faltar	to lack (not carecer)
el curso	course (educ.); course  (direction, progress) (c..)
la construcción	construction
el comercio	commerce
cerrar	to close
ocho	eight
Antonio	Anthony
la carta	letter (written document); menu; playing card; map
caminar	to walk (c...)
preparar	to prepare
amplio	ample, wide, spacious (not ancho)
para	to, for
la sangre	blood
histórico	historical
el plan	plan
especialmente	especially
la comisión	commission
el silencio	silence
reunir	to gather, reunite
reunirse	to reunite, to meet, to gather (reflexive)
América	America
anunciar	to announce; to advertise
matar	to kill
mayo	May
interno	internal
el edificio	building
el escritor	writer
bajar	to go down, lower, turn down, download
Alemania	Germany
superior	superior, top
la capacidad	capacity
el largo	length
privado	private
la consecuencia	consequence
abandonar	to abandon
cuanto	as much, as many, as much as (c..)
determinado	determined, specific (not decidido or resuelto)
el método	method
verdadero	true, real
el rico	the rich
lanzar	to throw, to launch (not arrojar, echar, or tirar)
la piedra	stone
el maestro	teacher
el corazón	heart
el colegio	college, high school (c..)
independiente	independent
acompañar	to accompany
físico	physical
la naturaleza	nature (not natural)
personal	personal
el oro	gold (the metal, not the color)
occidental	western
el interior	interior
importar	to be important, to matter
la oportunidad	opportunity
el conocimiento	knowledge (not saber)
el conjunto	group (c..., not "el colectivo")
informar	to report (not "reportar"); to inform (not "enterar")
la pregunta	question (query)
interesar	to interest
interesarse	to be interested (not "estar interesado")
cuatro	four
el carácter	character, personality (not "personalidad" or "personaje")
la prueba	test, proof
el poeta	poet
electoral	electoral
completo	complete
cantar	to sing
el futuro	future (not porvenir)
la lucha	fight (not pelea)
actuar	to act, perform, play
proponer	to propose (not plantear)
la ciencia	science
significar	to mean, to signify
depender	to depend
la flor	flower
imponer	to impose
aprender	to learn
el dato	piece of information, datum
la sala	living room (not salón)
alrededor	around, round, about
separar	to separate (not apartar)
la tradición	tradition
vos	you (singular, more informal than "tú")
enviar	to send (not "mandar")
la madera	wood
París	Paris
la mitad	half, middle, midpoint (Noun) (not "el medio")
denominar	to designate, to name (not "designar" or "nombrar")
resolver	to solve, to resolve, to decide
el imperio	empire
el modelo	model; fashion model (male)
la crisis	crisis
fijar	to fix, set
el personaje	personage, important person
el trabajador	worker (not obrero)
desaparecer	to disappear
el conflicto	conflict
celebrar	to celebrate
el miedo	fear (m...)
el organismo	organism
la defensa	defense
desear	to desire (not "querer")
la formación	formation (training)
atrás	behind, back (not detrás)
el metro	metro, subway
la salud	health
la calidad	quality (calibre)
civil	civil
el civil	civilian
el apoyo	support (not soporte)
el rostro	face (figurative, countenance)
menos	minus
el acto	act
la mirada	look, peek, glance (not "el vistazo" or "la ojeada")
quizá	perhaps
total	total
cuarto	fourth
fundamental	fundamental
el objetivo	objective
sostener	to sustain, support, hold up (not sustentar)
entregar	to deliver
el compañero	colleague, companion, partner, mate (not colega)
avanzar	to advance
aplicar	to apply (not solicitar)
el ministerio	ministry
la vía	route, way (v...)
el crecimiento	growth
capaz	able, capable
la propiedad	property
científico	scientific
el científico	scientist
la provincia	province
musical	musical
el musical	musical
situar	to situate
basar	to base, to found (b...)
la orquesta	orchestra
la creación	creation
Italia	Italy
el arma	weapon
conservar	to conserve, keep, preserve
controlar	to control
la expresión	expression
el departamento	department
declarar	to declare
la televisión	television, TV
la actitud	attitude
defender	to defend
el motivo	motive, reason
el instrumento	instrument
adelante	forward
adquirir	to acquire
profesional	professional
el profesional	professional
el público	public
afectar	to affect, upset, damage
junio	June
el médico	doctor (male, not "el doctor")
salvar	to save, to rescue (not guardar or ahorrar)
negar	to deny, to refuse (not "rechazar")
firmar	to sign (a document) (not "suscribir")
el golpe	blow, knock, bump
el texto	text
el pan	bread
la plata	silver; money (Lat Am)
decir	to say, to tell
la piel	skin
el artículo	article (not reportaje)
la cama	bed
la pared	wall (p...)
fundar	to found, to establish, to base (f..., not "fundamentar")
la justicia	justice
componer	to compose; to repair
la fecha	(calendar) date
cortar	to cut
la célula	cell (biology)
Chile	Chile
la operación	operation
el viento	wind
el sitio	site, place
la victoria	victory
romper	to break
la ayuda	help (not auxilio)
comentar	to comment
cubano	Cuban
recoger	to pick up, gather up
el caballo	horse
precisamente	precisely
local	local
la radio	radio (the broadcasting medium)
literario	literary
enfrentar	to confront (e.., not "encarar")
común	common (...n)
la solución	solution
interesante	interesting
hallar	to find (not "encontrar")
generar	to generate
grave	serious (not "serio"), critical, severe
suficiente	sufficient, enough (s...)
la revolución	revolution
el cielo	sky
el reino	kingdom
el inglés	English
el diario	newspaper (not "periódico")
el régimen	regime
el premio	prize
la niña	child (girl)
pertenecer	to belong, to belong to
aprobar	to approve; to pass (an exam); to pass (a law)
similar	similar (not "semejante" or "parecido")
el comienzo	start, beginning (c..)
la estrella	star
la presión	pressure
enero	January
la cruz	cross, crucifix
treinta	thirty
pretender	to aspire, to expect, to attempt (p...)
despertar	to wake up (someone else)
la distancia	distance
el dirigente	leader (not gobernante, líder, or mandatario)
el voto	vote
exigir	to demand, to require (not demandar or requerir)
la mamá	mom
tirar	to throw, to toss (not arrojar, echar, or lanzar)
la corriente	current (river, electricity)
la corte	court [of law] (not juzgado or tribunal)
jamás	never (j...)
poseer	to possess, own
el pasado	past
obstar	to obstruct, to hinder, to impede
la constitución	constitution
la práctica	practice
vestir	to dress
la temperatura	temperature
la abuela	grandmother
introducir	to introduce, to insert, to bring in (not meter)
la visita	visit
la noticia	news (singular)
el secretario	secretary
cruzar	to cross (not atravesar)
el dedo	finger
el dolor	pain, sorrow (not "la pena")
veinte	twenty
finalmente	finally
quizás	perhaps
enseñar	to teach, to show
parar	to stop
la velocidad	speed (v...)
la revista	magazine (periodical)
la generación	generation
el contacto	contact
contestar	to answer, to reply (not replicar or responder)
arriba	up, above (describing a higher area)above (describing a higher area); upstairs
el ex	ex
el pensamiento	thought
joven	young (not juvenil)
el respecto	respect, regard (e.g. with respect to...)
el calor	heat
democrático	democratic
reír	to laugh (not reflexive)
quitar	to take away, to eliminate, to remove (q..)
el presente	present (time, tense)
la altura	height
el estudiante	student
el jugador	player
la característica	characteristic
guardar	to guard, to keep, to save (not salvar or ahorrar)
la exposición	exposition; exhibition; trade show
el terreno	terrain, ground
la existencia	existence
colocar	to place, to put (not poner)
el alma	the soul
rápido	fast
adoptar	to adopt
artístico	artistic
el concepto	concept
la poesía	poetry
el sonido	sound
el grado	degree (temperature, angle); extent; rank (mil.)
diciembre	December
retirar	to retire, withdraw
el papá	dad
famoso	famous (f...)
la memoria	memory (m...)
añadir	to add
la ventana	window
el cuento	story (not historia)
gritar	to shout, yell, scream
oscuro	dark
dividir	to divide
la responsabilidad	responsibility
rodear	to circle, surround
la oposición	opposition
marzo	March
plantear	to pose (e.g. a question), to propose (not proponer)
el análisis	analysis
el espíritu	spirit
determinar	to determine
la administración	administration
la peseta	money (p...), small amount of money (figurative)
el negocio	business, company; transaction, deal
el fuego	fire (not "el incendio")
la actualidad	present (moment in time -- not el presente)
compartir	to share
la suerte	luck
la hoja	leaf, sheet (of paper)
la pierna	leg
consistir	to consist
superar	to overcome (not remontar)
la lluvia	rain (not "chaparrón")
viajar	to travel
abajo	down (a...); downstairs
el documento	document (not escrito)
supuesto	supposed; assumed
el recuerdo	memory  (specific recollection) (r...); souvenir
la sombra	shadow
el hospital	hospital
reflejar	to reflect (show)
absoluto	absolute
advertir	to warn (not avisar)
el concierto	concert
concluir	to conclude (not rematar)
funcionar	to function
federal	federal
octubre	October
serio	serious (not "grave")
definir	to define
vivo	alive
industrial	industrial
la carne	meat
el alumno	student (a...)
la fiesta	party, festivity
nueve	nine
tradicional	traditional
el factor	factor
la entrada	entrance (not "ingreso"); ticket
directo	direct
la inversión	investment
el deseo	desire
costar	to cost
el instituto	institute
el/la líder	leader (not dirigente, gobernante, or mandatario)
totalmente	totally
técnico	technical
septiembre	September
la propuesta	proposal (not proposición)
el género	gender, kind
alejar	to move (something) away
clásico	classical
exterior	exterior, external (not "externo")
la oficina	office (o...)
visitar	to visit
marcar	to mark
el café	coffee
cuidar	to look after, to take care of (c...)
el tío	uncle
notar	to notice, to note (not "darse cuenta")
el riesgo	risk
cincuenta	fifty
duro	hard, firm
Colombia	Colombia
el ejecutivo	executive, manager
impedir	to impede
prácticamente	practically
ejercer	to exercise, to practice
dominar	to dominate
el tratamiento	treatment (not trato); medical treatment
el general	general (military)
el individuo	individual
bello	beautiful (b...)
integrar	to integrate
la alianza	alliance
la etapa	stage, phase (progress)
el ciudadano	citizen
China	China
la arquitectura	architecture
la venta	sale
la ropa	clothes, clothing
la pena	pain, pity, sorrow (not "dolor")
el par	pair (not "pareja")
el tamaño	size (not "la talla" or "el talle")
el fenómeno	phenomenon
la llamada	call, phone call
el barco	boat, ship (b... not buque)
el juicio	trial, judgement
la letra	letter (ABC); lyrics (of song)
el transporte	transport
la labor	labor, task
simple	simple (not sencillo)
el abogado	lawyer, attorney (not procurador)
escapar	to escape (not huir)
la costumbre	custom, habit (not "el hábito")
simplemente	simply (not "sencillamente")
invitar	to invite, to treat
nombrar	to name, mention, nominate, refer to (not "denominar")
la escena	scene
recorrer	to travel across, to tour
la masa	dough, mass
la frecuencia	frequency
financiero	financial
proporcionar	to provide, to supply (not proveer or suministrar)
el diputado	deputy (political representative, MP)
el piso	floor, story (of a building), apartment (US), flat (UK)
el ingreso	admission, entry (e.g. to school, hospital)
básico	basic
el bosque	forest
la reacción	reaction
romano	Roman
el canal	channel
el alimento	food (a.., not "la alimentación")
aprovechar	to make the most of
italiano	Italian
insistir	to insist
el barrio	neighborhood (not "el vecindario")
rechazar	to reject
Inglaterra	England
el lenguaje	language (sign, body, computer)
proteger	to protect
el ataque	attack (not atentado)
frío	cold
la versión	version
manifestar	to manifest, to reveal, to show
oriental	eastern
la demanda	demand (not exigencia)
la página	page
preocupar	to worry (not "inquietar")
el palacio	palace
el detalle	detail
el cine	cinema
analizar	to analyze
bien	well (not pues)
Perú	Peru
la participación	participation
la colección	collection
la declaración	declaration
el rato	while, time
unido	close, united
final	final
el poema	poem
agregar	to aggregate, to add
posterior	later, after (p...)
el destino	destiny, destination
eléctrico	electric
actualmente	currently, nowadays
la asociación	association
la esperanza	hope
el pintor	painter
el pelo	hair (body) (not cabello)
Guatemala	Guatemala
la asamblea	assembly, meeting
la conversación	conversation
la red	network
la independencia	independence
u	or (when followed by "o" or "ho")
el teléfono	phone
la máquina	machine
mío	mine
el aumento	increase, rise (not alza or incremento)
mejorar	to improve
mexicano	Mexican
la tendencia	tendency, trend
griego	Greek
caber	to fit, to squeeze in
organizar	to organize
contemplar	to contemplate
febrero	February
Bolivia	Bolivia
el gesto	gesture (not ademán)
el gas	gas
la marcha	march, walk, hike
el periodista	journalist
recuperar	to recuperate; to retrieve, get back
la esposa	wife
asumir	to assume, to take on
el valle	valley
puro	pure
la enseñanza	teaching
encima	above, over; furthermore
la democracia	democracy
el compositor	composer
el habano	cigar (h...)
americano	American (not estadounidense)
la visión	vision
químico	chemical
reciente	recent
incorporar	to incorporate
inmediato	immediate
azul	blue
convencer	to convince
sorprender	to surprise (not extrañar)
mencionar	to mention
requerir	to require (not exigir)
el pobre	poor
máximo	maximum
la tarea	task, homework
aproximadamente	approximately
el periódico	newspaper (not "diario")
el tribunal	tribunal, court [of law] (not corte or juzgado)
el vecino	neighbor
la conciencia	conscience (judgement of right and wrong); awareness
Brasil	Brazil
exponer	to expose, to exhibit (not exhibir)
el informe	report (piece of information) (i...)
el perro / la perra	dog
someter	to submit
contribuir	to contribute (not aportar)
bonito	pretty
la espalda	back (anatomy)
la frontera	border, frontier (not borde)
la religión	religion
el avance	advance (not "el adelanto")
argentino	Argentinian
la edición	edition
implicar	to implicate
elevar	to elevate
recién	recently (not recientemente)
el sentimiento	feeling (not "el sentir")
el gusto	taste (not sabor)
concreto	concrete
el juez	judge (not magistrado)
la batalla	battle
describir	to describe
atender	to attend to, to look after
el parque	park
transformar	to transform
el propósito	purpose (not finalidad)
Japón	Japan
el seguro	insurance
extraordinario	extraordinary
coger	to catch (bus, plane etc), grasp, take
la caja	box; cash register
la comida	food; meal
el comité	committee
la fase	phase
el jardín	garden
Roma	Rome
identificar	to identify
cuarenta	forty
el hotel	hotel
extranjero	foreign
doce	twelve
el marido	husband (not esposo)
la luna	moon
oponer	to oppose
el verano	summer
la división	division
el idioma	language
prestar algo	to lend something
el peligro	danger
la copa	cup, alcoholic drink
revelar	to reveal
Jesús	Jesus
el triunfo	triumph
inglés	English
la salida	exit
la presidencia	presidency
encargar	to entrust; order (when shopping)
la tropa	troop
la dificultad	difficulty
la negociación	negotiation
la circunstancia	circumstance
destruir	to destroy (not destrozar)
detrás	behind, back (not atrás)
el plazo	period (of time), installment
luchar	to fight (not combatir or pelear)
la entidad	entity
el error	error
el Papa	Pope
la tecnología	technology
cobrar	to charge, to cash
complejo	complex
limitar	to limit
el límite	limit
el extranjero	foreigner; abroad
soviético	Soviet
la raíz	root
lejos	far away (l...) (not lejano)
el tono	tone
el intento	attempt
el investigador	investigator
aquello	that one (over there) (neutral)
norteamericano	North American
amar	to love (not "querer")
el extremo	extreme
la representación	representation
verde	green
la filosofía	philosophy
la biblioteca	library
discutir	to discuss, to argue
el diálogo	dialogue
estatal	state, national (not "nacional")
la habitación	room (h...)
confirmar	to confirm
la canción	song
el hierro	iron (metal)
el volumen	volume
la nota	note
el político	politician
la violencia	violence
la regla	rule (not "reglamento")
el municipio	municipality (not municipalidad)
la señal	signal; sign (traffic) (not "signo" or "seña")
el metal	metal
acá	here, over here (not "aquí")
la fe	faith
la estación	station; season (of the year)
el instante	instant
la pérdida	loss
la crítica	criticism
la carga	load, cargo (not "el cargamento")
Argentina	Argentina
el gobernador	governor
el vehículo	vehicle
el grito	shout, yell, scream, cry
sonar	to ring, sound, be pronounced
la selección	selection (not "el surtido")
vencer	to conquer, overcome (not conquistar)
lleno	full, filled up (not pleno)
seco	dry
el paciente	patient
raro	strange, rare (not extraño)
citar	to quote, to cite; to make an appointment
anual	annual
asistir	to attend; to assist
hermoso	beautiful (h...)
el ruido	noise
el mecanismo	mechanism (not dispositivo)
ay	ouch
cristiano	Christian
definitivo	definitive
el matrimonio	marriage (not  "el casamiento" or "la boda")
el labio	lip
tender	to hang out; to spread out; to hold out (one's hand)
durar	to last
la variedad	variety
el nacional	national (citizen of a nation)
la conferencia	conference
cualquiera	anybody; whichever
normal	normal
la montaña	mountain (not "monte")
cercano	nearby, near, close (not "cerca")
lo	it (l...)
cerrado	closed
la cifra	number, digit, figure (not "número")
la cadena	chain
el escenario	stage, setting
el pecho	chest (anatomy)
el petróleo	petroleum, crude oil
ordenar	to order (not mandar)
India	India
la evolución	evolution
familiar	family, familiar
exactamente	exactly, precisely (not justamente)
la competencia	competition (rivalry); competence
debajo	underneath
seguro	safe, certain
montar	to mount
distinguir	to distinguish
sonreír	to smile
la risa	laughter (not carcajada)
Rusia	Russia
pleno	full (not lleno)
escaso	scarce
el agente	agent
chino	Chinese
el compromiso	commitment, obligation, compromise; engagement
caracterizar	to characterize
principalmente	principally
la tasa	rate, valuation (not tarifa)
la moneda	coin; currency (not "la divisa")
trasladar	to transfer, to move (not transferir)
específico	specific
variar	to vary
la composición	composition
respetar	to respect
la roca	rock (r...)
solicitar	to solicit
instalar	to install
católico	Catholic
urbano	urban
la intención	intention
presidencial	presidential
la aplicación	use (a..); application
entero	entire, whole
el presupuesto	budget, estimate
destinar	to allocate, devote
el debate	debate
intenso	intense
el contrario	contrary
atravesar	to cross, to pass through (not cruzar)
probablemente	probably
el responsable	person responsible; culprit (not "el culpable"), person in charge
proceder	to proceed
el patio	patio, courtyard
el respeto	respect (esteem, admiration)
el sábado	Saturday
sencillo	simple (not "simple")
moral	moral
el gasto	spending, expense
aun	even (a..)
hasta	until
el kilómetro	kilometer
la impresión	impression
influir	to influence (not "incidir")
la norma	the norm, standard
el ritmo	rhythm
el empleo	employment
la colonia	colony; cologne
directamente	directly
el diseño	design
el campesino	peasant
adecuado	adequate
acusar	to accuse
judicial	judicial
la vuelta	turn, turning, other side (not giro or turno)
el empresario	businessman (e..)
ubicar	to find, locate; to place (L. Am.) (not localizar)
original	original
pintar	to paint
quince	fifteen
latino	Latin
el núcleo	nucleus
el olor	odor, smell
la capa	cape, cloak [clothing] (not manto)
la droga	drug
el león	lion
transmitir	to transmit
legislativo	legislative
el soldado	soldier (not "militar")
seguramente	surely, probably; certainly (not ciertamente)
la sonrisa	smile
eliminar	to eliminate
el continente	continent
la vivienda	housing
el viernes	Friday
conceder	to concede; to grant, to give
sexual	sexual
cien	one hundred
la temporada	season (sports, fruit); period of time
tranquilo	quiet, calm, peaceful (t..)
el hogar	home (not "casa")
la medicina	medicine
la bolsa	bag (not "el bolso"); stock market
arrastrar	to drag
el descubrimiento	discovery
sustituir	to substitute
positivo	positive
derecho	right
la aparición	appearance (process of appearing), apparition
a menudo	often
el puesto	post, position (not posición)
nuclear	nuclear
emitir	to emit
la ventaja	advantage
el vino	wine
contrario	contrary
el ciclo	cycle (unit of time)
la sensación	sensation, feeling
suyo	his
beber	to drink
el cultivo	cultivation; crop
la fotografía	photography
legal	legal (not jurídico)
interpretar	to interpret
doña	Mrs. (d...)
interior	interior
la reina	queen
la preocupación	worry
el hombro	shoulder
probar	to test, to try (on clothes, food)
posteriormente	subsequently
la víctima	victim
la rama	branch (of tree, family, subject)
saltar	to jump (not brincar)
girar	to gyrate (to turn)
la frase	phrase
aéreo	aerial
el torneo	tournament
la escala	scale (maps, music); stopover (travel)
el lunes	Monday
más	plus, more
la gana	desire, wish, win (not "deseo")
el mensaje	message
grabar	to record
Barcelona	Barcelona
el dibujo	drawing
generalmente	generally
el marco	frame, doorframe; framework
Londres	London
la potencia	potency, power
la sustancia	substance
el espejo	mirror
el beneficio	benefit
el chico	boy (not "niño" or "muchacho")
comunista	communist
estimar	to estimate
la agencia	agency
el músico	musician
el vidrio	glass (material)
rico	rich, tasty, yummy
el deporte	sport
el dominio	dominion
acostumbrar	to accustom
preciso	precise
la junta	board (committee), meeting
esconder	to hide, to conceal (not "ocultar")
el tejido	fabric (not tela)
comprobar	to check (not "chequear" or "checar"), prove, verify
Miami	Miami
intervenir	to intervene
el emperador	emperor
el paisaje	landscape, scenery
pegar	to stick, adhere, paste (including on computer)
completamente	completely (c..)
Asia	Asia
la escultura	sculpture
el crédito	credit
el disco	disc (e.g. record, vinyl)
cometer	to commit
la izquierda	left
la partícula	particle
asimismo	in the same manner, likewise (not "igualmente", or "también")
investigar	to investigate
el acontecimiento	event, occurrence (a...)
cuánto	how much
merecer	to merit, deserve
alguno	some (any)
agrícola	agricultural (not agrario)
la carretera	highway, road (not autopista)
el hambre	hunger
pobre	poor
la resistencia	resistance
el salvador	savior
satisfacer	to satisfy
el oeste	west
envolver	to wrap
aportar	to contribute (not contribuir)
el criterio	criterion
el frío	cold
el signo	sign, symbol (not seña,  señal or símbolo)
universal	universal
el club	club
el ejercicio	exercise
la juventud	youth (concept)
ruso	Russian
el procedimiento	procedure (not trámite)
mediado	half-way through
el diente	tooth
etcétera	et cetera
comunicar	to communicate
la confianza	confidence, trust
acudir	to come, to go, to show up
el total	total
coincidir	to coincide
la lista	list
la protección	protection
la fundación	foundation (type of financial inst.); act of founding
individual	individual, separate
el gen	gene
la firma	signature
admitir	to admit
conmigo	with me
el coche	car (not "carro", "vehículo", "auto" or "automóvil")
la proteína	protein
temer	to fear
la oferta	offer (not "el ofrecimiento")
el puente	bridge
la facultad	faculty, ability (f...)
activo	active
la punta	tip, point, sharp end
la iniciativa	initiative
marchar	to march, leave
la banda	band
el vuelo	flight
el distrito	district (for admin. or law)
el motor	motor
Honduras	Honduras
rápidamente	quickly
el rayo	ray, lightning
el círculo	circle
amenazar	to menace, threaten
Sevilla	Seville
la silla	chair
la llegada	arrival
la liga	league
el contrato	contract
feliz	happy (f...)
el lago	lake
la reserva	reservation, reserve (not "la reservación")
el espectáculo	show
terrible	terrible
la sorpresa	surprise
la personalidad	personality
la belleza	beauty
el templo	temple (religious)
el discurso	discourse (speech)
huir	to run away, to escape, to flee (not escapar)
nervioso	nervous
fijo	fixed
combinar	to combine
notable	notable
la misión	mission
la referencia	reference
